smiles,nucleophilicity
CC(C)NC=[O:1],-0.286270472
CCC[C-:1](C(C)C)C(C)C,40.7227438
CC[N-:1]CC(C)C,30.55826885
CCN(CC)C=[O:1],0.464361073
CCC[C-:1](CCC)CC(C)C,40.7514729
[C:1](CCC)(C#N)=C=[N-],13.26251633
CC(C)[CH:1]=C=[N-],25.69332425
CCC[N:1](CC)c1ccccc1,5.864072261
CC(C)(C)C[C:1](=C=[N-])CC(C)(C)C,24.11019348
CC(C)[C:1](=C[O-])c1ccccc1,17.57172017
CCC(C(C)C)C(=[O:1])C(C)(C)C,-4.887962955
CCC(C)[N-:1]Cc1ccccc1,29.34763392
CC[CH:1]=C(C)[O-],21.82006051
CCC(CC)[O:1]C(CC)CC,-2.229493283
CCC(=[N:1]CC)c1ccccc1,9.804249858
C[CH-:1]CC(C)C,41.81342769
CCC(C)[C:1](=C=[N-])C,25.62002458
C[NH2:1],11.09037739
CCC[N:1](C)CC,9.915657427
CCC(C)[CH:1]=[N+]([O-])[O-],16.82282724
CC(=[O:1])Cc1ccccc1,-3.173758536
CC(C)C[C-:1](c1ccccc1)[N+]#N,4.021575396
CC(C)C[CH-:1][N+]#N,9.548960956
C[CH:1]=C(C)[O-],22.7999527
CC(C)C[C:1](=C=[N-])C,26.25048381
CC(C)C(=[N:1]C)c1ccccc1,9.608621473
CCC[O:1]CC,-3.099782266
CCC(C(C)C)[C:1](=C=[N-])CC,24.73489489
CCCN(C=[O:1])c1ccccc1,-2.268759449
CC[N-:1]C(C(C)C)C(C)C,28.64204813
CCCC(=[O:1])C(C)(C)C,-3.33951491
CCCC(=[CH:1]C(C)C)[O-],23.30647092
CC(=[NH:1])c1ccccc1,9.784616245
CCCC(=[CH:1]Cc1ccccc1)[O-],22.00276778
CCC[C:1](=C(CC)[O-])C,24.30086835
CCC[N-:1]C(CC)C(C)C,31.11933334
CCC(=[CH:1]c1ccccc1)[O-],18.36093893
CCC(CC)OC(=[O:1])C(C)C,-3.817573754
CCCC(=[C:1](C)C(C)C)[O-],24.92316335
CCC[NH-:1],29.44448371
CCC(=[O:1])NC(C)C,-0.634286433
CCCN(CCC)C(=[O:1])c1ccccc1,0.20825418
[C-:1]#[N+]C(C)(CC)CC,9.467175998
CC(C)COC(=[O:1])C,-3.895373714
CCCC(=[C:1](CC)C(C)C)[O-],21.36674458
CCC(C(C)C)[N-:1]C(CC)C(C)C,31.4086452
CC(C)[N-:1]C(C)(C)C,29.99503781
CCC[C-:1](CCC)C(C)C,41.27651128
CCC=[O:1],-4.177632012
C[C:1](=C(c1ccccc1)[O-])C,21.64735861
CCC[N:1]=C(CC)Cc1ccccc1,9.732279127
CCC[C:1](=C=[N-])c1ccccc1,19.57819955
CC(C)C[C-:1](C)[N+]#N,8.440176302
CC(C)C[N:1](C)C(C)(C)C,8.692989714
CCC(CC)[N-:1]C(C)C,31.08617763
CC[N:1]=C(c1ccccc1)C(C)C,8.937294284
CC(C)(C)[N:1](C)C,10.17937007
CC(C)[C:1](=C=[N-])CC(C)(C)C,25.26134914
CC[N-:1]c1ccccc1,22.20486297
CCC(CC)[O:1]Cc1ccccc1,-4.691597212
[C:1](C(CC)(CC)CC)(C#N)=C=[N-],10.68373496
C(=[O:1])N,-0.696473828
c1ccc(cc1)[CH-:1][N+]#N,6.18618302
CCCC(=[O:1])OC(CC)CC,-2.737232796
CCC(C)OC(=[O:1])C,-3.052647419
CCCC(=[C:1](CC)Cc1ccccc1)[O-],21.9156847
CCC[C-:1](CC(C)(C)C)[N+]#N,6.932177013
C[C:1](=C(C)[O-])C,23.61615368
CCC(C)[C-:1](CC(C)C)[N+]#N,6.774370616
CC(C)(C)[CH2-:1],38.92601584
